Respondents,Response.Date,Responses,Age
1,May 27 2020 10:57 PM,Lazy and unambitious,34
2,May 27 2020 10:52 PM,They are grotesque objects of derision,52
3,May 27 2020 10:48 PM,Their wrr were weight is their fault,59
4,May 27 2020 10:48 PM,On the one hand our society has become obese which is not healthy but on the other hand people should not be teased or discriminated against because of their weight,71
5,May 27 2020 10:48 PM,"Lazy, no self respect",73
6,May 27 2020 10:44 PM,They are lazy,42
7,May 27 2020 10:41 PM,Some groups are trying to get us to accept “people of size” being normal. Sorry I’m not attracted to out of shape people,28
8,May 27 2020 10:40 PM,Obesity is a choice people make through eating and actions. Correctable through education and effort.,47
9,May 27 2020 10:39 PM,That I hey are lazy.,65
10,May 27 2020 10:37 PM,Obese people are gross,64
11,May 27 2020 10:36 PM,Can be mesn,59
12,May 27 2020 10:35 PM,Looks down on them.,45
13,May 27 2020 10:26 PM,Not an issue with men,52
14,May 27 2020 10:25 PM,Society in general does not have a favorable view on obesity,59
15,May 27 2020 10:19 PM,I do not know what other people think,59
16,May 27 2020 10:18 PM,Too much acceptance of not being healthy but at the same time discriminating against those that are big,58
17,May 27 2020 10:17 PM,They are thinking more in medical concerns than the way a person looks.,42
18,May 27 2020 10:13 PM,Either don’t care or act judgemental,64
19,May 27 2020 10:12 PM,"General acceptance, however,tend to look down on them",45
20,May 27 2020 10:11 PM,Disgusting,64
21,May 27 2020 10:09 PM,Hwhege ehehhe,49
22,May 27 2020 10:05 PM,Looks down on,27
23,May 27 2020 10:03 PM,D,69
24,May 27 2020 09:55 PM,"I see obesity becoming normalized, which in my opinion isn’t a positive thing considering the health concerns that come with being obese.",61
25,May 27 2020 09:53 PM,that they are lazy,51
26,May 27 2020 09:52 PM,"We connect obesity with lack of exercise, poor nutrition choices,or poverty itself.",56
27,May 27 2020 09:49 PM,Extreme obesity is either considered disgusting or sad by most people.,33
28,May 27 2020 09:48 PM,Ccdddfgg,57
29,May 27 2020 09:46 PM,the public looks down on over weight people,57
30,May 27 2020 09:46 PM,not sure,71
31,May 27 2020 09:46 PM,No,36
32,May 27 2020 09:38 PM,Yes,55
33,May 27 2020 09:38 PM,"Dislike them seated in an airliner isle, look at them with disgust at a buffet, and in most cases, considers their weight as an eating problem when it may not be.",69
34,May 27 2020 09:37 PM,The American public believes that people with obesity are lazy and don't care that they are obese which is not really the case.,29
35,May 27 2020 09:36 PM,honestly almost accepts it like it's normal to be grossly overweight,35
36,May 27 2020 09:34 PM,fat people are lazy,67
37,May 27 2020 09:33 PM,People in the United States have an attitude that smaller is better especially when it comes to women.  They want the Kim Kardashian's of the world instead of a healthy woman.,25
38,May 27 2020 09:32 PM,They don't address the issue as much as it is needed. Overlook fact its far more then beeing overweight ,68
39,May 27 2020 09:31 PM,extreme obesity seems to be a poor person stigma...a richer  person is slim and trim... profiling,67
40,May 27 2020 09:31 PM,"Un healthy, no will power,  poor eating habits",34
41,May 27 2020 09:29 PM,"They look at someone with anorexia and say ""poor thing is starving herself to death"" ....then look at at overweight person and say ""What a slob.  She has no self control.""",43
42,May 27 2020 09:28 PM,"tend to think they eat too much in general or too much junk food, or have a thyroid problem, or don't exercise",39
43,May 27 2020 09:27 PM,money,45
44,May 27 2020 09:26 PM,That they need to exercise more and eat healthier,18
45,May 27 2020 09:26 PM,People with obesity are lazy and do not try to lose weight because they would rather make poor choices in eating.,20
46,May 27 2020 09:26 PM,"Less attractive
Less desirable 
Less capable
",29
47,May 27 2020 09:24 PM,the public thinks obese people are lazy also not intelligent.,21
48,May 27 2020 09:23 PM,everyone should be thin and have total weight control,23
49,May 27 2020 09:23 PM,biased,19
50,May 27 2020 09:23 PM,"They won’t help them in the healthcare systems, but will make fun of and not treat them well. People are nasty!",59
51,May 27 2020 09:23 PM,They think that people don’t care about their weight or they don’t worry about it,34
52,May 27 2020 09:23 PM,They should just take control of what they eat ,69
53,May 27 2020 09:23 PM,They hate us. We are the cause of higher insurance rates. Obama started that crap.  ,74
54,May 27 2020 09:23 PM,The public might think people with obesity haven’t tried to get fit and that obese people don’t care about themselves.,18
55,May 27 2020 09:23 PM,The American public thinks it's the person fault for their obesity.,40
56,May 27 2020 09:23 PM,Society thinks of people who are overweight as not as good as people who are thin.,68
57,May 27 2020 09:23 PM,Idk,50
58,May 27 2020 09:23 PM,I think a lot of people find overweight people disgusting.,64
59,May 27 2020 09:22 PM,They thinks it’s really gross,51
60,May 27 2020 09:22 PM,They think poorly it is your fault,31
61,May 27 2020 09:22 PM,The public is obsessed with obesity with the showing of overweight people in the news. There are numerous commercials about organizations to help you lose weight.,65
62,May 27 2020 09:22 PM,Lazy,52
63,May 27 2020 09:22 PM,"I think they have a very low and negative, sometimes even nasty opinion of people with obesity",23
64,May 27 2020 09:22 PM,I myself think that there is no reason for obesity.,72
65,May 27 2020 09:21 PM,overweight people want to be overweight.,53
66,May 27 2020 09:21 PM,They think very bad about one in general. I personally walk 4 times a week and still can’t lose any weight and still get bullied and made fun of,69
67,May 27 2020 09:21 PM,People generally think overweight people are slobs and lazy,25
68,May 27 2020 09:21 PM,Media encourages form over substance and false glamour.   Not enriching and makes a false impression,54
69,May 27 2020 09:21 PM,"It seems more accepted now, at least as far as the media shows, but that is worrisome  because although no one should be made to feel bad about obesity, they also shouldn't be given the impression that obesity is healthy in any way.",24
70,May 27 2020 09:21 PM,"I think most people feel it's completely under that person's control, but they disregard the mental issues behind that at times and the unfortunate imbalance some people have, where they can't eat what a so called normal person could eat without putting on 20pds.",52
71,May 27 2020 09:21 PM,"1) They are somehow less of a desirable person to be around, and “not as good” as people of “normal” weight. 2) An employer might think they would give a bad impression of the company if hired in a position. 3) They are just lazy people who don’t care about themselves, and don’t try to keep their weight down; should be ashamed of themselves. 4) They may be concerned for the person and their health. 5) They may feel empathy for the person who is excluded, and try to include them and befriend them, for support. 6) They may realize that the person's weight has nothing at all to do with how likable they are, and gradually change their negative behavior toward obese people.",19
72,May 27 2020 09:20 PM,"they think they're lazy, dumb,  worthless , unfriendly",43
73,May 27 2020 09:20 PM,that they are lazy and unattractive.  they are also unhealthy and dont exercise.,58
74,May 27 2020 09:20 PM,idk,22
75,May 27 2020 09:20 PM,They think your lazy and have no self control.,65
76,May 27 2020 09:19 PM,they are ugly,73
77,May 27 2020 09:19 PM,that people with obesity are lazy and less important than thinner people,74
78,May 27 2020 09:19 PM,They are commonly seen as dirty and un kept. They are also treated as if they are unintelligent.,35
79,May 27 2020 09:19 PM,"Lazy, weak willed, indulgent",40
80,May 27 2020 09:19 PM,"Lazy, uneducated",25
81,May 27 2020 09:19 PM,I think people over weight never get accused of being on meth,57
82,May 27 2020 09:19 PM,Americans make fun of other Americans that are fat or overweight.,58
83,May 27 2020 09:18 PM,believes if they exercise self control they should be able to lose weight.,56
84,May 27 2020 09:18 PM,That they need to have control on they eat and have self control,25
85,May 27 2020 09:18 PM,I believe that they feel people who are overweight are lazy and gluttonous and that they are unattractive and disgusting.,29
86,May 27 2020 09:18 PM,Fat people are shunned/ridiculed. ,56
87,May 27 2020 09:17 PM,They think they are lazy and eat too much.,29
88,May 27 2020 09:17 PM,No,61
89,May 27 2020 09:16 PM,Yes,65
90,May 27 2020 09:16 PM,That it’s not a good look,34
91,May 27 2020 09:16 PM,Lazy and gluttonous,67
92,May 27 2020 09:15 PM,they don't like fat people,60
93,May 27 2020 09:14 PM,they look at them like a disease.,33
94,May 27 2020 09:14 PM,"They are unworthy, uneducated, unhealthy",49
95,May 27 2020 09:08 PM,they have no will power,72
96,May 27 2020 09:08 PM,They are very bias against people with weight problems,52
97,May 27 2020 09:08 PM,Looking fat.,68
98,May 27 2020 09:04 PM,"They think they aren’t very well educated, unclean, sloppy, out of control, undisciplined ",24
99,May 27 2020 09:02 PM,they're lazy and have no self control,23
100,May 27 2020 09:01 PM,It’s a problem,60
101,May 27 2020 08:59 PM,That they are lazy,63
102,May 27 2020 08:59 PM,"In general, American society values overweight people less than those of ideal weight.",25
103,May 27 2020 08:57 PM,generally negative people think they are lazy and disgusting,18
104,May 27 2020 08:56 PM,I feel as a nation we have been conditioned to see an issue with any person overweight so much so we have issues with our animals now.,56
105,May 27 2020 08:53 PM,they think its nasty,41
106,May 27 2020 08:53 PM,"That it may be laziness, rebellion or perhaps childhood abusive home",46
107,May 27 2020 08:51 PM,America sees people with obesity as people who use up space.,39
108,May 27 2020 08:50 PM,We are critical of anyone different.,26
109,May 27 2020 08:48 PM,????,68
110,May 27 2020 08:47 PM,That they are weak,57
111,May 27 2020 08:47 PM,Health problems are imminent,72
112,May 27 2020 08:46 PM,Lasy or unattractive.,24
113,May 27 2020 08:44 PM,Opinions vary based on education level and personal maturity.  But in a broad perspective it is viewed negatively.,42
114,May 27 2020 08:42 PM,they think we need to work out and eat healthy.  1. food cost to much to eat healthy and 2 I am large frame so they think I should weigh as much as a small frame.,63
115,May 27 2020 08:42 PM,Negative,47
116,May 27 2020 08:42 PM,I think people think overweight people eat a ton of food when it could be another health issue. They think bigger people are slobs with poor hygiene.,67
117,May 27 2020 08:40 PM,Their lazy with no self control,27
